sample_id,method,operator,condition
sample_001,raman,E,test
sample_002,raman,A,test
sample_003,raman,,control
sample_004,raman,C,control
sample_005,raman,D,control
sample_006,raman,E,control
sample_007,raman,A,test
sample_008,raman,B,control
sample_009,raman,C,control
sample_010,raman,D,control
sample_011,raman,E,test
sample_012,raman,A,test
sample_013,raman,B,test
sample_014,raman,C,test
sample_015,raman,D,control
sample_016,raman,E,test
sample_017,raman,A,test
sample_018,raman,B,control
sample_019,raman,C,test
sample_020,raman,D,control
sample_004,raman,B,duplicate
