x,intensity
0,0.0298817
2.81256,0.0225637
5.62429,0.0100012
8.43517,0.00914746
11.2452,0.0112209
14.0544,0.0121966
16.8628,0.0121966
19.6703,0.0130504
22.477,0.0123186
25.2828,0.00707403
28.0878,0.00634224
30.892,0.00829369
33.6953,0.00634224
36.4978,0.0109769
39.2995,0.00731797
42.1003,0.0113428
44.9003,0.00841566
47.6994,0.010733
50.4977,0.00841566
53.2952,0.00804976
56.0918,0.00902549
58.8876,0.0100012
61.6826,0.0114648
64.4767,0.0104891
67.2701,0.0146359
70.0625,0.0150018
72.8542,0.0278083
75.645,0.0526894
78.4349,0.0856202
81.2241,0.118551
84.0124,0.177095
86.7999,0.226125
89.5865,0.270521
92.3724,0.298939
95.1574,0.308696
97.9415,0.313331
100.725,0.322356
103.507,0.327967
106.289,0.333089
109.07,0.339066
111.85,0.340651
114.629,0.349799
117.407,0.346384
120.185,0.344066
122.962,0.338822
125.738,0.330772
128.513,0.323942
131.287,0.316014
134.06,0.296865
136.833,0.278327
139.605,0.259178
142.376,0.243932
145.146,0.245762
147.915,0.243322
150.684,0.242225
153.451,0.237712
156.218,0.254665
158.984,0.270399
161.749,0.288328
164.514,0.319917
167.277,0.340529
170.04,0.357727
172.802,0.363459
175.563,0.358092
178.323,0.339432
181.083,0.323698
183.841,0.307233
186.599,0.302598
189.356,0.305159
192.112,0.296134
194.868,0.284913
197.622,0.267228
200.376,0.246737
203.129,0.227955
205.881,0.206976
208.632,0.188316
211.383,0.178924
214.133,0.168679
216.881,0.161971
219.629,0.158312
222.377,0.148433
225.123,0.144896
227.869,0.139285
230.613,0.133187
233.357,0.125015
236.101,0.115624
238.843,0.112087
241.585,0.108428
244.325,0.100866
247.065,0.106111
249.804,0.106354
252.543,0.104159
255.28,0.108916
258.017,0.106964
260.753,0.101232
263.488,0.109891
266.222,0.12782
268.956,0.140871
271.688,0.147213
274.42,0.152214
277.151,0.145993
279.881,0.141481
282.611,0.1377
285.34,0.122576
288.067,0.124893
290.794,0.116965
293.521,0.108672
296.246,0.102939
298.971,0.0930601
301.694,0.0922064
304.417,0.0865959
307.14,0.0833028
309.861,0.0801317
312.582,0.0746432
315.302,0.0745213
318.021,0.0675692
320.739,0.0687889
323.456,0.0657397
326.173,0.0667155
328.889,0.0698866
331.604,0.0692767
334.318,0.0701305
337.031,0.068179
339.744,0.0624466
342.456,0.0653738
345.167,0.0653738
347.877,0.0606171
350.586,0.0615929
353.295,0.0636663
356.003,0.0658617
358.71,0.0689108
361.416,0.0661056
364.122,0.0626906
366.826,0.064886
369.53,0.0657397
372.233,0.0657397
374.936,0.0654958
377.637,0.0650079
380.338,0.0573241
383.038,0.0579339
385.737,0.064642
388.435,0.0652519
391.133,0.0615929
393.829,0.0620807
396.525,0.064886
399.221,0.0619588
401.915,0.0618368
404.609,0.0642761
407.301,0.0640322
409.993,0.0650079
412.685,0.0703744
415.375,0.0706184
418.065,0.0673253
420.753,0.0741554
423.442,0.0728138
426.129,0.0789121
428.815,0.0733016
431.501,0.0801317
434.186,0.0873277
436.87,0.100378
439.554,0.108428
442.236,0.118185
444.918,0.123308
447.599,0.124893
450.279,0.126601
452.959,0.125015
455.637,0.123796
458.315,0.125625
460.992,0.126113
463.669,0.127089
466.344,0.133553
469.019,0.143676
471.693,0.1588
474.366,0.170874
477.038,0.190511
479.71,0.211733
482.381,0.242103
485.051,0.26491
487.72,0.310648
490.389,0.35858
493.057,0.417124
495.724,0.476034
498.39,0.511038
501.055,0.534455
503.72,0.525186
506.384,0.481522
509.047,0.420417
511.709,0.347116
514.371,0.283327
517.031,0.228808
519.691,0.192219
522.351,0.164776
525.009,0.140017
527.667,0.122454
530.324,0.104647
532.98,0.0973289
535.635,0.0914746
538.29,0.0850104
540.943,0.0803757
543.596,0.0776924
546.249,0.0778144
548.9,0.0765947
551.551,0.0724479
554.201,0.0709843
556.85,0.068301
559.498,0.0680571
562.146,0.0700085
564.793,0.0679351
567.439,0.0675692
570.084,0.0650079
572.729,0.0656178
575.373,0.0652519
578.016,0.0640322
580.658,0.068179
583.3,0.072082
585.94,0.0653738
588.58,0.0614709
591.22,0.0656178
593.858,0.0650079
596.496,0.061227
599.133,0.0569582
601.769,0.0586657
604.404,0.0579339
607.039,0.0518356
609.673,0.0512258
612.306,0.0534211
614.938,0.0546408
617.57,0.0570801
620.2,0.0515917
622.83,0.0495182
625.46,0.0487864
628.088,0.0530553
630.716,0.0513477
633.343,0.0550067
635.969,0.0532992
638.595,0.046713
641.219,0.0462251
643.843,0.0481766
646.467,0.0453714
649.089,0.0411026
651.711,0.0386633
654.332,0.0343944
656.952,0.0364679
659.571,0.0445176
662.19,0.0461032
664.808,0.0461032
667.425,0.0490304
670.042,0.0515917
672.657,0.0526894
675.272,0.0459812
677.886,0.0363459
680.5,0.0400049
683.112,0.0392731
685.724,0.0387852
688.335,0.0397609
690.946,0.039639
693.555,0.0382974
696.164,0.0404927
698.772,0.0434199
701.38,0.039639
703.986,0.0370777
706.592,0.0378095
709.197,0.0390291
711.802,0.0420783
714.405,0.0425662
717.008,0.0442737
719.61,0.050494
722.211,0.0551287
724.812,0.0613489
727.412,0.07196
730.011,0.0872058
732.609,0.114038
735.207,0.156239
737.804,0.243688
740.4,0.356629
742.995,0.404683
745.59,0.377241
748.184,0.281376
750.777,0.206367
753.37,0.150018
755.961,0.110745
758.552,0.0884254
761.142,0.0811075
763.732,0.079034
766.32,0.0672033
768.908,0.0652519
771.496,0.0698866
774.082,0.0687889
776.668,0.0667155
779.253,0.0629345
781.837,0.0665935
784.42,0.0776924
787.003,0.0857422
789.585,0.0902549
792.166,0.0975729
794.747,0.105867
797.327,0.120381
799.906,0.137456
802.484,0.157946
805.062,0.180876
807.639,0.197951
810.215,0.214904
812.79,0.247957
815.365,0.310038
817.938,0.383339
820.512,0.485913
823.084,0.708501
